dataset_name,baseline_steps,spec_steps,actual_speedup,family,token_count,vocab_size,heaps_beta,pbe@1_mean,pbe@1_median,pbe@1_p90,pbe@1_min,pbe@1_max,pbe@1_std,pbe@2_mean,pbe@2_median,pbe@2_p90,pbe@2_min,pbe@2_max,pbe@2_std,pbe@4_mean,pbe@4_median,pbe@4_p90,pbe@4_min,pbe@4_max,pbe@4_std
code_humaneval,12800,3794,3.373748023194518,code,30474,2324,0.6618830228984299,1.2737738337930207,1.0,2.0,1,33,1.1503465036590916,1.3634338691228705,1.0,2.0,1,40,1.4658628249910568,1.4667842803260738,1.0,2.0,1,40,1.7943511594128305
code_mbpp,12800,3747,3.416066186282359,code,21344,1776,0.6957297940692344,1.268222085781949,1.0,2.0,1,30,1.1317001693774271,1.351411523733191,1.0,2.0,1,34,1.4678958245972544,1.4526586463403435,1.0,2.0,1,54,1.8614870746632752
code_python_instruct,12800,4326,2.9588534442903374,code,719801,22985,0.7084210370347955,1.3593282534100206,1.0,2.0,1,162,1.943151868580969,1.4722027757307787,1.0,2.0,1,216,2.479096068485311,1.6150882904825221,1.0,2.0,1,334,3.3844678740126937
dialogue_alpaca,12800,3308,3.8694074969770256,dialogue,320671,20486,0.7555975749057502,1.2009983111608895,1.0,1.0,1,171,1.4007214195854918,1.246349522310841,1.0,2.0,1,157,1.5513263377588442,1.2876476229747449,1.0,2.0,1,150,1.776313689204276
dialogue_dolly,12800,3176,4.030226700251889,dialogue,481837,30044,0.7679821065924017,1.1589118461458245,1.0,1.0,1,147,1.208362819243062,1.1936261871891685,1.0,1.0,1,166,1.4601257339051015,1.2235833180127562,1.0,1.0,1,392,1.97719956102011
dialogue_samsum,12800,3909,3.2744947556919928,dialogue,836975,19805,0.6876379514525154,1.414743269150621,1.0,2.0,1,230,2.511774344882979,1.5282919600317768,1.0,2.0,1,277,3.0853069898973957,1.6014425709083655,1.0,2.0,1,452,3.7751029007158574
math_gsm8k,12800,5440,2.3529411764705883,math,905581,12135,0.6316504200425349,1.5578620746910932,1.0,2.0,1,481,3.8159671669776247,1.7453845435393986,1.0,2.0,1,511,4.807659546601046,1.911420065102674,1.0,3.0,1,549,5.980883238079959
math_math,12800,5754,2.224539450816823,math,1480297,9942,0.5760461553487551,1.8779901793006226,1.0,3.0,1,235,3.322540677971579,2.2681525181516697,1.0,4.0,1,317,4.901555810378951,2.705503291768028,1.0,5.0,1,434,7.02588607959609
math_metamath,12800,5494,2.3298143429195486,math,1182229,11188,0.6026091718021417,1.6806428576741972,1.0,3.0,1,474,3.643610342069741,1.9817449424787155,1.0,3.0,1,514,5.076002625503269,2.3316507209070485,1.0,4.0,1,649,7.007138477756156
nl_cnndailymail,12800,4120,3.1067961165048543,nl,4239428,43363,0.6713661188617238,1.3535562083854635,1.0,2.0,1,967,2.8258030436717245,1.447004514052358,1.0,2.0,1,1098,3.8722335669622625,1.5205113321097785,1.0,2.0,1,2147,5.317008133014664
nl_openwebtext,12800,3630,3.5261707988980717,nl,5403154,59635,0.6882307523845645,1.3034260687593084,1.0,2.0,1,1057,2.510624294004051,1.3673106973811635,1.0,2.0,1,1101,3.228590717054714,1.4127494517839667,1.0,2.0,1,3361,4.5554450642224165
nl_wikitext103,12800,3426,3.7361354349095155,nl,516825,25193,0.7456380689680726,1.2057768209544313,1.0,1.0,1,1322,2.7084519899149067,1.262035676569172,1.0,2.0,1,1551,3.200154317444821,1.3138777357609028,1.0,2.0,1,1352,3.60435632949524
